date,open,high,low,close,volume,date_unix
2013-10-06,122.0,122.0,122.0,122.0,0.1,1381017600
2013-10-07,123.61,123.61,123.61,123.61,0.1,1381104000
2013-10-08,123.91,124.19,123.9,124.18,3.9916,1381190400
2013-10-09,124.01687,124.01687,123.84,123.84,2.823,1381276800
2013-10-10,125.85,125.86,125.85,125.86,2.0,1381363200
2013-10-12,127.5,127.5,127.0,127.0,4.0,1381536000
2013-10-13,131.8408,131.8408,131.8408,131.8408,0.1,1381622400
2013-10-14,134.8,135.59,133.36726,135.59,12.00575337,1381708800
2013-10-15,135.8,153.0,133.87975,133.87975,4.3,1381795200
2013-10-16,143.0,146.14,137.63758,138.09,20.229,1381881600
2013-10-17,137.62448,144.73,137.52,143.79522,5.777,1381968000
2013-10-18,146.2399,153.80147,146.2399,149.04856,23.551,1382054400
2013-10-19,157.74,171.25,157.64,165.56,72.545,1382140800
2013-10-20,166.52626,166.52626,162.981,162.981,4.84841803,1382227200
2013-10-21,165.0,176.65277,165.0,176.32429,18.30269,1382313600
2013-10-22,181.97,194.2,150.0,150.0,7.37587686,1382400000
2013-10-23,191.62198,203.45,185.90287,203.45,39.22,1382486400
2013-10-24,203.67412,207.30246,169.9201,193.0999,83.72097523,1382572800
2013-10-25,172.27,186.8,171.97,186.0499,67.2,1382659200
2013-10-26,185.8,185.8,179.8656,184.58,11.0,1382745600
2013-10-27,182.3,191.3,179.23624,191.0,69.90739,1382832000
2013-10-29,195.0,195.0,195.0,195.0,0.62564102,1383004800
2013-10-30,195.0,203.94,195.0,203.77,9.72274898,1383091200
2013-10-31,199.0,202.27,199.0,202.1,2.26,1383177600
2013-11-01,203.59999,207.96822,202.9,202.9,33.98053314,1383264000
2013-11-02,202.68,204.24,201.04,203.51,7.05555555,1383350400
2013-11-03,204.662,209.748,203.47,209.748,9.58525942,1383436800
2013-11-04,209.748,229.97,209.4001,226.9001,71.17542108,1383523200
2013-11-05,227.39493,250.14053,222.05236,244.95532,25.22136406,1383609600
2013-11-06,245.69019,269.42566,245.69019,263.73672,49.46076368,1383696000
2013-11-07,262.8628,348.4093,262.8628,289.62884,32.79999637,1383782400
2013-11-08,295.51602,330.64785,295.51602,330.64785,6.22530641,1383868800
2013-11-09,340.0,350.0,312.01,338.68,14.72330453,1383955200
2013-11-10,321.9202,400.0,289.18978,317.0,45.8385494,1384041600
2013-11-11,350.5738,362.5306,329.72864,340.725,17.97582053,1384128000
2013-11-12,360.0,500.0,346.55506,355.0,50.9990239,1384214400
2013-11-13,365.0,406.0,365.0,398.0,26.14386347,1384300800
2013-11-14,405.55474,425.84138,404.8,425.62096,15.0963141,1384387200
2013-11-15,421.62096,435.0,387.91236,410.0,100.37766183,1384473600
2013-11-16,414.8989,444.50734,414.8989,438.0,23.29680432,1384560000
2013-11-17,444.44,491.50107,430.0,491.50107,16.82612919,1384646400
2013-11-18,496.36498,700.0,496.36498,700.0,41.09771376,1384732800
2013-11-19,700.0,800.0,484.0,587.52083,54.89126149,1384819200
2013-11-20,581.7009,636.94821,450.0,591.81,56.77094125,1384905600
2013-11-21,600.0,720.0,583.11045,670.06042,72.06500951,1384992000
2013-11-22,672.31667,810.0,642.70057,796.56582,18.09444637,1385078400
2013-11-23,796.34865,904.0765,768.76234,830.75754,43.07371045,1385164800
